,Author,Date,body
2222,steve luzzo,2016-07-01,it works about 50  of the time  the other 50  nothing works and it tells me oops  something went wrong     update still horrible  nothing ever loads up displays etc  downgraded to one star 
2223,brett reimers,2016-07-01,upgraded note 4 to marshmallow suddenly doesn t work 
2224,venancio jachi,2016-07-01,it s a good
2225,harish sarma,2016-07-01,good but a few improvement shud be do
2226,sashin naidoo,2016-07-01,stop allow post to be make
2227,uday pratap,2016-07-01,dr  uday
2228,sunu r s,2016-07-01,very helpful
2229,ahmed niaz mirza,2016-07-01,good
2230,nandkishore agarwal,2016-07-01,very good
2231,siddhath guntewar,2016-07-01,excellent
2232,bushy tshekedi,2016-07-01,director at moletlo funeral
2233,hammad ali,2016-07-01,good
2234,lyle henkeman,2016-07-01,bug when uploading photo from android device  never actually loads  just hang on update 
2235,darma mogan,2016-07-01,stupid update i can login to by my yahoo id when i download this and it only need gmail id!!! what crap update
2236,jay selter,2016-07-01,very useful for reconnect with friend coworker and make new connections 
2237,aneeqah allie,2016-07-01,nice to be on shukran aneeqah allie                             lovely to be on so nice to meet new friends
2238,raja mohapatra,2016-07-01,simple feature
2239,mustafa topalo  lu,2016-07-01,please fix it
2240,alex broadley,2016-07-01,much better thank
2241,oleg pochaev,2016-07-01,can t publish pictures 
2242,jagdeo sookhiram,2016-07-01,distributor for enagic kangen  water machime
2243,faiz rizvi,2016-07-01,i be unaware and my friend suggest soon after my account on i be so hy that i can use this social netwrok to build my carreer nd can connect my old friend nd co worker  great nd ui guy  
2244,nicola stevenson,2016-07-01,unable to login  keep do security check  i m not a robot checks  still say bad user name and password  i m pay for premium this be unacceptable  will not be renew
2245,bahari harris,2016-07-01,i like to connect on on my phone more than at my desk  this make it simple to do so!
2246,chit ruiz,2016-07-01,hi  i be not a robot  please do something with this 
2247,vipin kumar,2016-07-01,it s very good to discuss and explore and exchange idea and experience
2248,anjec naredo,2016-07-01,when i want to go up a page it refresh constantly 
2249,mukul goel,2016-07-01,earlier i rate it with three star now after current improvement i find both of issue log by my be solve now graphic be great and functionality improve a lott 
2250,jason reel,2016-07-01,i have a company calked phoenix combat solution but be link my company with phoenix technology  u0026amp  even put their logo on my company information which be not okay with me 
2251,"andolina, vincent p ",2016-06-30,i didn t think for android can become any worse but it has  the current version be incredibly slow and buggy  no doubt it microsoft have purchase will go to town on our personal data  enjoy!
2252,mukund gain,2016-06-30,balo ache
2253,amanda lam,2016-06-30,work great  doesn t crash  good job guys!
2254,abhijeet singh,2016-06-30,the only let down be the ads  they somehow find a place to push in some ad although it s not annoying but the support ad which be a let down 
2255,mahesh prajapati,2016-06-30,we ll and good
2256,liubov lawson,2016-06-30,the latest update completely crew this   i use it more than any other s but now it s impossible  make 5 start into useless garbage
2257,ammar al khaldi,2016-06-30,all the last update be about fix bug without any new improvement
2258,j  nos hol  nyi papp,2016-06-30,the quest for bug and performance improvement go go goo! real changelog please
2259,naravoot thanyanara,2016-06-30,i just can t use it  period  update i can login now with latest update  all be well 
2260,hari shankar sinha,2016-06-30,good lication for good opportunity
2261,har bau,2016-06-30,win t open after update
2262,nicole green,2016-06-30,stop work
2263,scott behnke,2016-06-30,new update change it to leave conversation instead of delete  unfortunately leave conversation doesn t do anything  please fix!
2264,lynne walker,2016-06-30,excellent
2265,tharun virat,2016-06-30,great
2266,rene',2016-06-30,good to see favourite here  thank you 
2267,james hall,2016-06-30,cant get past captcha
2268,ajay kumar,2016-06-30,good
2269,sanjay gupta,2016-06-30,thank
2270,madhav ghodki,2016-06-30,very good
2271,nitoshia roberson,2016-06-30,a manageble legible expenditure
2272,saimon islam rajib,2016-06-30,hodok
2273,vigneshwar thiyagarajan,2016-06-30,it s awesome
2274,joseph godbey,2016-06-30,owner director science
2275,a google user,2016-06-30,how to login sso with microsoft idworkschool?
2276,ishan sinha,2016-06-30,jejff
2277,abhishek db,2016-06-30,i just installed   i feel better   superb         
2278,shakir hussain,2016-06-30,it s good  just that profile pic don t show full of other person
2279,rakesh chalke,2016-06-30,i like this  
2280,s  krishnan,2016-06-30,good
2281,raju anbhorkar,2016-06-30,bullshit experience too many security check pic not expandable 
2282,ephraim ezeugo,2016-06-30,be fantastic
2283,aditya sharma,2016-06-30,must need for all proffessional
2284,adel ismail,2016-06-30,it s still need more upgrad to be easy and quickly in respond
2285,thanesh waran,2016-06-30,nice on  
2286,rajshekhar machha,2016-06-30,lovely
2287,faesal gyan,2016-06-30,i enter the email and password correctly but i can not log in
2288,anil k reddy,2016-06-30,now the look fantastic  hope to get more and more updates 
2289,mohamedalie albangura,2016-06-30,i know him hi be q safety engineer
2290,durgesh shalgar,2016-06-30,perfect place for new opportunities!!!
2291,jerry cedeno,2016-06-30,cute
2292,craig stasik,2016-06-30,new update win t log into the   i enter my log in detail and it open the desktop version within the and be terrible
2293,janette viera,2016-06-30,easy to navigate
2294,enrico mariotti,2016-06-30,the main and most important info be well and nicely organized!
2295,joshua abramson,2016-06-30,have start to crash while try to share to
2296,richard w,2016-06-30,please fix the contact sync!
2297,rahul gawalkar,2016-06-30,hate google play store not work last 3mounth  i be tired
2298,omkar chandwadkar,2016-06-30,superb
2299,monsef el amrani,2016-06-30,the be a bit slow
2300,                     ,2016-06-30,very slow
2301,vivek kher,2016-06-30,either it s li that has changed or its me  whatever it is li is proving to be a far more engaging and in fact a heady experience  cheers for that     
2302,jaykumar patel,2016-06-30,laggy
2303,darryl young,2016-06-30,the work good but it have a few glitch that i would hope get correct very soon e g  writing a comment in a post when exit the comment section more often then not the refresh the screen in lieu of return to the news feed section of the post   currently the doesn t work  i try to log in today and the provide an error message  consider that the website be accessible the definitely need technical assistance immediately 
2304,maria amuchastegui,2016-06-30,although i be a heavy user i uninstal the from my samsung note phone  the kept ask me if i be willing to allow my samsung note phone to access my contacts  not only do this disregard my notification preference it s an attempt to violate my privacy 
2305,matnieyzam kassim,2016-06-30,good
2306,rajan sharma,2016-06-30,simply nice
2307,marvelous bam,2016-06-30,fail to install
2308,ram subhag singh,2016-06-30,best
2309,kaye zhao,2016-06-30,i get log out suddenly  and when i try logging in i be ask the security question again and again! click the image with river!!! and everytime after i get through it turn into a white screen!
2310,hebron nadar,2016-06-30,useful
2311,syed najeebulla,2016-06-30,very nice
2312,luis jusino,2016-06-30,love this
2313,iki suhe,2016-06-30,i just install this s i hope i enjoy this
2314,jeremy parsons,2016-06-30,the idea be nice  but the be poorly implemented  it stutter a lot and you never know if it s think or if it s go to freeze which it also do more than what be acceptable for a major internet site  i ll stick to the web page thank you 
2315,tersia van der merwe,2016-06-30,scuba diver instructor
2316,sambit rath,2016-06-30,update comment  now i have try more than 50  you scuk  not able to login  say select image of you be not robot  i have try more than 10 time but failed  hated 
2317,umesh kokane,2016-06-30,i be unable to login through   please fix the issue
2318,prasanta kumar nayak,2016-06-30,good
2319,allamsetti raghubabu,2016-06-30,link you to the whole lot of opportunity and person around the world 
2320,prashant dagade,2016-06-30,nice
2321,denham patterson,2016-06-30,after the second to last update it win t let me log in  not wasting my time try to figure out why so delete the   it be only an ok anyway so no big loss 
2322,michelle swart,2016-06-30,do not work on huawei p8 lite
2323,chris becker,2016-06-30,solid functionality and great user experience!
2324,jihad deghaim,2016-06-30,oral surgeon
2325,james johnson,2016-06-30,great for my business and work for me
2326,bachir rihcab,2016-06-30,i really recommend this web site to all whom seek for amazing and beneficial professional relationships 
2327,remaketse mathobela,2016-06-30,love it
2328,scott kaufman,2016-06-30,tedious and annoying
2329,corporal nyoni,2016-06-30,can connect very fast
2330,corby bellamy,2016-06-30,excellent way to connect
2331,henry vindin,2016-06-30,it seem no matter what i do link in be constantly ask me to sync my contact repeatedly i ve say no and it seem to be get desperate and have now decide there be an error sync my contact which it shouldn t be try to do anyway 
2332,toby keef,2016-06-30,awesome
2333,abdul bhai abra,2016-06-30,all rajsthan transpoter vehicle hotel bukig luxury car bus available
2334,john wernecke,2016-06-30,work fine a week ago and now all i get be invalid login   can login fine from my computer with the same credentials  i get notification on the phone yet can t do anything  oops we have take a wrong turn or exit or whatever doesn t cut it folks  uninstal remove from synced account reinstalled  nothing works 
2335,simon smangaliso zulu,2016-06-30,fantastic! and would like to be able to log in but just  can t
2336,imran khan,2016-06-30,so weak in messaging photo message impossible
2337,franc carter,2016-06-30,terrible ux
2338,lina omar,2016-06-30,great for business connection
2339,akash chitnis,2016-06-30,useful !
2340,dag wieers,2016-06-30,fail since latest update
2341,howard wright,2016-06-30,fantastic
2342,ryan watkins,2016-06-30,i be no longer able to login through the   display invalid browser page 
2343,pete gibson,2016-06-30,new release hang on note 4 at u0026amp t after logo screen render useless 
2344,tom lizyness,2016-06-30,disabled
2345,adeildo j  nior,2016-06-30,extremamente lento! clica se em qualquer parte do e tem que esperar 1 minuto pra pr  xima aparecer  horr  vel!
2346,adam rayburn,2016-06-30,on multiple phone after several version for the longest time this still create multiple entry for in each of my contacts  just try again same issue  fix it already 
2347,kevin grant,2016-06-30,nice   easy to navigate and use 
2348,terry jones,2016-06-30,have always used this and love it but now it repeatedly ask me to sign in and do recaptcha s
2349,musbah mejarresh,2016-06-30,very good  
2350,roozbeh jafari,2016-06-29,    
2351,isaac alfieri,2016-06-29,excellent networking site undermined by an that frequently freeze and an integrated browser that doesn t even have the capability to display content nor external content  the browser be completely useless yet all link be direct to it  same issue on multiple phone
2352,chandra shekhar pandey,2016-06-29,i really love this  
2353,tariq siddiq,2016-06-29,chef
2354,harys sundayana,2016-06-29,love it
2355,samer zreiqat,2016-06-29,i get an update and now it doesn t let me log in the malfunction and it keep say my password incorrect  this be ridiculous 
2356,anka sahin,2016-06-29,please fix this asap  cannot log in on my phone for the last two weeks 
2357,alec val okwuike,2016-06-29,it s sale to microsoft? bad idea  very 
2358,rick k,2016-06-29,useful for professional and job seekers  no need for the barrage of notifications  have them all shut off  be mindful of the information you share or allow access to 
2359,mary colvard,2016-06-29,sale
2360,ankit thakar,2016-06-29,it s a very good lication
2361,sergio barrionuevo,2016-06-29,good job!! hehe
2362,raza abbas,2016-06-29,be
2363,norche thompson,2016-06-29,keep head to the sky 
2364,shree soni,2016-06-29,good
2365,yvonne c mabikke,2016-06-29,not that helpful d
2366,jesse crawford,2016-06-29,i have be used link in for 6 year now  i have never have an issue with the or the website so i find it really strange that they get buy by ms for some unheard of amount of money now the be crap  ms stick to operate systems 
2367,duncan clark,2016-06-29,any event or job with a drop down menu ears to not work and will send the user back to the home page  ears to be link only to android and be hen on my partner phone too  auto refresh also painful after return from an article 
2368,baps sravan chauhan pramukhswami,2016-06-29,excellent for job recruitment  
2369,mohammed tauseef,2016-06-29,unable to login in my account even though the password be correct it say invalid login 
2370,lokendra pal singh,2016-06-29,good  by needs an improvement! !!                                        
2371,satish kumar,2016-06-29,very useful  
2372,yudi rustiono,2016-06-29,verry inform
2373,david ayuo,2016-06-29,i like the update version 
2374,kenneth price,2016-06-29,easy to use
2375,lalit kundra,2016-06-29,nice
2376,mohit korat,2016-06-29,very nice!!!
2377,yussuf yussuf,2016-06-29,great
2378,raaj bharti,2016-06-29,good experience with this
2379,hany ahmed,2016-06-29,amazing and professional roach for networking and professional jobs 
2380,sandra sepapane,2016-06-29,great
2381,semaj langston,2016-06-29,i be able to login unlike most android user but i couldn t update anythingwaste of 30 minute
2382,dodiya indrajit,2016-06-29,not able to update profile picture
2383,katrina gopaul,2016-06-29,it keep send me stupid thing that i m not interested in and it win t allow me to get rid of it  no not two let s make it one udall suck 
2384,a google user,2016-06-29,now new
2385,nathan philips,2016-06-29,cool
2386,petrus sudiwarso,2016-06-29,thank you
2387,tubby,2016-06-29,not secure
2388,ashesh haldar,2016-06-29,search for job but still unemployed 
2389,carolina nunes,2016-06-29,i download the to my moto x and it never work 
2390,ritu mishra,2016-06-29,its great for job
2391,mahaboob basha,2016-06-29,good
2392,dr  md  amir khusru akhtar,2016-06-29,
2393,sonakshi kapoor,2016-06-29,search champcash earn money on playstore and champcash install karne ke baad signup with champcash kare  please join our team refer sponsor id 4470730 and join me _earn rs  1 000  a day as part_timefull time job so don t waste your time install hurry up  after installation sign up karne k baad jab sponsor id maange to id 4470730 daal dena be se aap meri team me join ho ke and challenge complete karke 50 000 per month kma sakte hai champcash id 4470730
2394,raghavan seshan,2016-06-29,excellent
2395,sunder sharma,2016-06-29,biggest fault in this please send me your email id   i explain to you
2396,paul heasmer,2016-06-29,difficult to log on
2397,a google user,2016-06-29,brand new moto x 2015 and it s the jankiest user experience  be the devs used octacore 8gb phones?
2398,mano mano,2016-06-29,absolutely  an fantaboulus    simply go for it            
2399,shivraj lakhanpal,2016-06-29,wow     i love this aap
2400,richard jahnonga,2016-06-29,rare used
2401,mrrockmuzk,2016-06-29,loving father of 3 diamond daughter
2402,wajahat haleem,2016-06-29,good
2403,asoken director sharon hospital,2016-06-29,samrat
2404,beinomugisha godfrey,2016-06-29,good
2405,rakesh katti,2016-06-29,we all know how important be   why cant fix this one bug and make us all hy again  how long will they need 
2406,a google user,2016-06-29,fine a bit clunky
2407,justin tuijl,2016-06-29,can be better
2408,      ,2016-06-29,quite annoying to keep pop up all kind of staff each time when i open it 
2409,anas alwasel,2016-06-29,very bad why hide the photo
2410,raveendra gamage,2016-06-29,good
2411,rohollah zalaghi,2016-06-29,
2412,prikshit gupta,2016-06-29,damn image captcha be too long and silly and just doesn t let me in 
2413,simon travis,2016-06-29,crash after the captcha screen  not able to login at all  dreadful  
2414,eusup mia,2016-06-29,nice
2415,muhammad fuad,2016-06-29,not sure why it s keep say i be used wrong browser  
2416,sreejin tj,2016-06-29,worst chat interface 
2417,simon jackson,2016-06-29,latest update mean i m no longer able to log in  awful for such a major business 
2418,kiran kumar,2016-06-29,need to re install when ever there s a new update  
2419,davor stankovi  ,2016-06-29,crash after latest update
2420,dan lo fat,2016-06-29,really?
2421,efren jara silva,2016-06-29,
2422,jeff setser,2016-06-29,i do not do social medium until   i love feature and ability to share professional updates 
2423,conor holland,2016-06-29,win t let me log in after recent update say my password be wrong so i reset it and still win t let me in to account
2424,jeremy vanderpump,2016-06-29,last update completely failed! cannot login at all! next time do you uat properly 
2425,mohammed sanni,2016-06-29,i love it  great networking  
2426,steven hill,2016-06-29,great
2427,hatef pr,2016-06-29,add night modedark theme
2428,arun singh,2016-06-29,i guess they should change name to pop up  
2429,larry goldstein,2016-06-29,great use
2430,shiva bilavar,2016-06-28,super
2431,yunus ruslim,2016-06-28,coba dlu ya
2432,adrian li,2016-06-28,in particular when i m look at job openings 
2433,mark kawinski,2016-06-28,email
2434,ramesh sapru,2016-06-28,five to the power of infinitykeep it up
2435,destiny iyke,2016-06-28,nice platform for business spread up
2436,no thinks,2016-06-28,this never works 
2437,josh goodwin,2016-06-28,the recapcha thing be a giant failure  can t log in ever  its be weeks 
2438,sunar wijaya,2016-06-28,yes  maybe i like this cause i don t use b4
2439,benjamin rapoo,2016-06-28,wise
2440,monirul islam babu,2016-06-28,always best
2441,ananya mani,2016-06-28,very user friendly and comprehensive
2442,shirish chaudhari,2016-06-28,good one
2443,ankit kumar shriwastaw,2016-06-28,i have try to upload my profile picture but it take lot s of time and still it not apload  wifi speed 
2444,abdul kader muhammadi,2016-06-28,amazing i can use in phone !!!
2445,anim asare,2016-06-28,nice love it
2446,lubna algadrie,2016-06-28,it give person more choice
2447,neeraj pal,2016-06-28,love it
2448,eghosa kennedy idemudia,2016-06-28,love it 
2449,ismail nasir,2016-06-28,advanced
2450,rajneesh c,2016-06-28,very informative
2451,marilyn williams,2016-06-28,uninstalling 
2452,jitendra parmar,2016-06-28,fantastic
2453,azad singh,2016-06-28,good
2454,bavly morcos,2016-06-28,a lot of bug ears userfriendly but lot of disgusting bug make the lication awful
2455,shahid ullah,2016-06-28,superve love it
2456,mary ulrey,2016-06-28,useful
2457,juan jimenez,2016-06-28,the captcha verification do not work at all! send an update asap
2458,vibha dalsaniya,2016-06-28,helpful
2459,atish jadhav,2016-06-28,just an amazing licationgood work guy thanks 
2460,michael ricky,2016-06-28,love it
2461,salim parwez khan,2016-06-28,hope microsoft take to mars!!
2462,rajesh kumar,2016-06-28,praise the lord
2463,terfa anjov,2016-06-28,many thank for the information
2464,mg zondi nondaba,2016-06-28,director siyajabula driver training
2465,karen baker,2016-06-28,love this reciate it
2466,mark vandusen ii,2016-06-28,just realise i didn t have it install anymore so downloaded it on my droid turbo 2 and it be say my browser be unsupported and required side scroll in the   wth?
2467,akasha javed,2016-06-28,love the
2468,mohammad saad yagami,2016-06-28,great
2469,tyler breen,2016-06-28,great   i use it everyday so i put 4 star however i be contemplate 3  how stupid be it that you cannot write recommendation for your connection in the only on the computer? do you not understand how inconvenient that is? in a digital age where cell phone be life and more used than computer why exactly would you not give one the most powerful aspect of to the mobile ? dumb 
2470,ken ume,2016-06-28,poor tool and although the latest version say it used a new gps permission the still insist no special permission be required  look like you can t turn the sync feature off either
2471,biren thapa,2016-06-28,nice and useful
2472,patricio villanueva camarena,2016-06-28,come join 
2473,venkatachalapathy y,2016-06-28,be a good communication medium connect not only professional person but also spiritual intelligent person throughout the world and it be the best platform for unite person of the different country with their profession thought imagination and different religions 
2474,razvan scarlatescu,2016-06-28,impossible to pass the recaptcha step at login
2475,victor talha,2016-06-28,you re in business to make money the only way to do this be by deal with other person your potential buyers  if you have buyer and you re not a supplier then you need those too  be a great way to get both! for the price of one!  bogo
2476,floren naguit,2016-06-28,informative for trend entrepreneur economic technology education and management 
2477,a google user,2016-06-28,change permission
2478,kailash bharadia,2016-06-28,nice
2479,"tv lee the hottest song in seattle, wa,",2016-06-28,hey mr sexy man
2480,robkarry13 bobcat13,2016-06-28,log in impossible on android with new update it s a shame as i used to use it alot  unless change i ll install and just use on my laptop
2481,jagdish singh,2016-06-28,nice one
2482,suprakash nath,2016-06-28,it s really a
2483,ademola adewuyi,2016-06-28,the best professional corridor 
2484,aaron jackson,2016-06-28,whatever hen with the latest update i can t even use the to login  it win t log me in and give an error about cookies 
2485,dylan sawabi,2016-06-28,i get alert for invite and when my invitation be accepted  yet the never seem to update  i go to view the individual s profile and it still say pending  the notification drop down be never up to date  it be still show the same notification a month ago  i don t know why the desktop notification be not identical to the s i e  like facebook   phone pop up notification be never reflect in the notification drop down either 
2486,isiyaku ahmed,2016-06-28,great
2487,rossen naydenov,2016-06-28,since last update i can t open as it ask me to join opportunity which i don t and there be no way of go back!
2488,charlotte moses,2016-06-28,good networking tool
2489,okelo caleb,2016-06-28,that just one security check thing be disgusting 
2490,olatunde fajimolu,2016-06-28,good connection
2491,zonia titus,2016-06-28,user unfriendly
2492,tarun bansal,2016-06-28,i can t open this now as its showing lock
2493,imran khandaker,2016-06-28,easy to use  u0026amp  helpful always
2494,george earl,2016-06-28,no longer work with android
2495,mike van,2016-06-28,forklift operiggrator hvac certify
2496,donald damien betorina betorina,2016-06-28,i be in know if you be connect to the best professional man s psy in the world be on to know who you be
2497,atif zahoor,2016-06-28,final
2498,john walker,2016-06-28,new update break this   i can no longer do anything without the crashing 
2499,ian christensen,2016-06-28,i m not an idiot  i don t want to follow person that i don t want to follow  stop try to shove thing down my throat 
2500,bejai marimbo,2016-06-28,pastor  bible teacher author  and marriage counsellor  father and husband
2501,alia khan,2016-06-28,telecommunication
2502,aman uddin,2016-06-28,superb
2503,who ya think,2016-06-28,why do the close in the middle of read an article to update???
2504,rahul nair,2016-06-27,keep ask to reset the password and doesn t let me login from the
2505,mohan sah,2016-06-27,it be easy to do learning 
2506,s  d  mishra,2016-06-27,manager qc
2507,suresh yendakurti,2016-06-27,good lication
2508,adejola adefarakan,2016-06-27,overall the be good but it doesn t show me who my connection be connect with which be bad 
2509,"the little r  sum   shop, llc",2016-06-27,neat and clean pages  no game here 
2510,murtaza trunkwala,2016-06-27,eat up the entire battery   removed  !!!
2511,hari sadhan mukherjee,2016-06-27,it s good
2512,derek education,2016-06-27,i just update li  i be go through all my 4900 contact note crucial info  your update just change the order of my contacts  now i have lose more than a week s analysis and have to troll through my contact from the beginning  your update be not clever  you re a business so should be respectful of your business follower
2513,mike kipruto,2016-06-27,i love it         
2514,malathy kumar,2016-06-27,good social medium to connect with person both professional and personal
2515,wahid tamboli,2016-06-27,this make by my dream because i be stand up in the world
2516,safwan rehman,2016-06-27,wow  wonderfull to meet new personsno boringgot linkdin
2517,dr kumar,2016-06-27,awesome  can interact with a lot of person of similar professional background  this definitely increase the no of new opportunities 
2518,alina ciulu a,2016-06-27,wonderful
2519,jason james,2016-06-27,describe by me 
2520,eng kareem maghewry,2016-06-27,professional and easy  i can scroll any job at any country in the world but new update very slow and close many times 
2521,uresh fakir,2016-06-27,good
2522,michael b  mugerwa,2016-06-27,not sure what advantagevthe have over an ordinary browser 
2523,yin yin,2016-06-27,worst security verification
2524,rk karanja,2016-06-27,good for networking  u0026amp  all professional
2525,pawan sharma,2016-06-27,i enjoy it
2526,marc lecompte,2016-06-27,i had cancelled my account last year because linked in was too aggressive in trying to solicit my contacts even if i had tried to not give it free access  i had spent over am hour prior to cancelling it in trying to stop aggressing my friends regularly who were not link    today i opted to reopen very carefully not to give it access to my contacts but next thing i know it has access to them  that s enough  there has to be a law against hiding legal stealing of personal info in the fine print 
2527,nilesh kumar,2016-06-27,nice
2528,david kiss,2016-06-27,i enjoy my time with it 
2529,tsank malata,2016-06-27,mr
2530,a google user,2016-06-27,if devs can please add an easy way to reply to connection request without accept that would be great  it help to ask recruiter why before accepting 
2531,zeleke samuel,2016-06-27,great effort
2532,tilak raj sharma,2016-06-27,connect peoples 
2533,david nassehi,2016-06-27,not smart enough
2534,ihsan elahi,2016-06-27,useful
2535,smita das,2016-06-27,line in not an user friendly
2536,sukravarman muttakudi,2016-06-27,sukravarman
2537,amit sahu,2016-06-27,nice
2538,ramora fortunggal,2016-06-27,fantastic         
2539,mohamed samy,2016-06-27,good and very effective
2540,somendra raj,2016-06-27,enjoyable
2541,robert bendito,2016-06-27,its great
2542,vikash priyadarshi,2016-06-27,best link
2543,a google user,2016-06-27,ney
2544,aniket modi,2016-06-27,awesome
2545,farouk bouazdia,2016-06-27,hiattach file be miss in messaging function  otherwise you re almost the best  
2546,0264871127 arthur kane,2016-06-27,smart
2547,kapil koushik,2016-06-27,love it
2548,ronnie isbel,2016-06-27,good work site
2549,rijo murali,2016-06-27,better than the website
2550,swadhin panigrahi,2016-06-27,lication
2551,haiku thakkar,2016-06-27,i have just install the latest version of this and it s do security check again and again and i m not able to log in
2552,pavithra space,2016-06-27,supr for student
2553,dakota michaud,2016-06-27,since last update can t log in at all even when all my credential be correct  need to be fix
2554,himank barve,2016-06-27,i m get same list again and again for follow people  my invitation be not get store in database  please check it and improve it 
2555,emmy effy,2016-06-27,navigation be make easy
2556,vinaykumar badiger,2016-06-27,
2557,richard degraft,2016-06-27,best ever good job
2558,valentino iuliano,2016-06-27,not working anymore on s4
2559,shruti pandey,2016-06-27,love it
2560,felicia aku dayie,2016-06-27,awesome
2561,noor peerzada,2016-06-27,freeze a lot  please fix it
2562,heather duvall,2016-06-27,since have do their update any time i try to log in on the it say my login be invalid  i can log in from any browser but not the   i rely on a lot for my work  i m really frustrated 
2563,charlie rea,2016-06-27,since latest update i now cannot login on android wrong browser message but nothing have change there
2564,jenn christy,2016-06-27,can t even get into it
2565,arti berde,2016-06-27,i have uninstal it and again reinstal it but it still give me same problem  whenever i try to scroll it flicker and get crash  i be not able to used it at all  
2566,tag happiness,2016-06-27,it s one of the best way to get or find best career moves  tag hiness
2567,ed dipple,2016-06-27,why cant you make it easier to get in without me having to get another  ing on my phone
2568,daniel weaver,2016-06-27,crash my phone
2569,chris mason,2016-06-27,precision painting
2570,jim campbell,2016-06-27,glitch have render it unusable 
2571,john oppong   kyekyeku,2016-06-27,best shipper and reliable to ghana
2572,mzela mashele,2016-06-27,great keep it up!
2573,amanyoh edward kwame senu,2016-06-27,very easy to use
2574,katherine shelton,2016-06-27,social medium
2575,cortney phoenix,2016-06-26,your sucks! with all of the money you guy make why cant you make a decent ! idiots!
2576,sangeeta das,2016-06-26,fantastic lication  and very easy to find out all know person friend and close one  the notification be also good  and very useful 
2577,jason wong,2016-06-26,i hate this   already uninstall but why keep ask me to install again  it s hen everyday and very annoying
2578,princess jolane,2016-06-26,nice
2579,nelson cancino,2016-06-26,it be one of most outstanding to meet with real pro in every knowledge discipline
2580,nirav thacker,2016-06-26,previous version be very nice    we can search any person from their skill and designation also  in new version we can t do that  
2581,john meyer,2016-06-26,please add support in the to enable personal feed customization by newest or latest post vs trending  it seem i get to see the same post time and time again whilst newer post be bury down the list  that s a waste of time!
2582,shabeer b pareed,2016-06-26,good
2583,arun yelburga,2016-06-26,very useful
2584,mirza farhat,2016-06-26,great tool
2585,adrian li,2016-06-26,buggy
2586,khawaja waleed,2016-06-26,i judtvlove it
2587,panji indrajit,2016-06-26,can t login
2588,sal awad,2016-06-26,i can t log in anymore  used a galaxy note 4
2589,manmohan singh,2016-06-26,nice
2590,amit kumar pradhan,2016-06-26,well designed 
2591,suresh suresh ,2016-06-26,    
2592,aysha bai,2016-06-26,nice
2593,mahendra singh,2016-06-26,we be quality product
2594,vibhav kannan,2016-06-26,haven t stated using dis like any other social media  i will rate the when i learn every single thing about it       
2595,shrikant khadke,2016-06-26,its very helpful to find some bussinessman
2596,kareem salaheldin,2016-06-26,lg g4 6 0 1
2597,burek pita,2016-06-26,i really don t know why this need read contact and doesn t work without that permission 
2598,salim mohamed,2016-06-26,link s suddenly stop work give error that the internet browser be not compatible 
2599,daxesh modi,2016-06-26,good
2600,hatef pr,2016-06-26,why do you update this everyday?  
2601,moh alikhsan arisandi,2016-06-26,iyoo
2602,girdhar gopal gupta,2016-06-26,very nice
2603,udo paul,2016-06-26,lovely!
2604,satinder kumar,2016-06-26,link to the professional of ur profession by this   very informative and useful 
2605,puneet singh,2016-06-26,i love to be on it  quite an amazing experience 
2606,shailendra deshpande,2016-06-26,very helpful
2607,hend ali,2016-06-26,zefffft can t log in
2608,chandra bhushan mishra,2016-06-26,vice president safe flex international limit
2609,leroy mutekwe,2016-06-26,i have be try to upload a picture for like 3 day now  it say submit please wait and then freeze like that for hours 
2610,ajay arya,2016-06-26,cant send invites  i have complete the whole profile still it doesnt allow me to send any of the invites  !!!
2611,erastus mwini,2016-06-26,help you connect with professional in your field
2612,naiyer askari,2016-06-26,fantastic
2613,georgekutty roy,2016-06-26,easy to use
2614,evelyn diaz,2016-06-26,okay
2615,shibil pharma,2016-06-26,love it
2616,mario f c da costa,2016-06-26,please get it you would regret it 
2617,rohit sharma,2016-06-26,i like platform
2618,srikanth e,2016-06-26,nj cd i m mn vb box
2619,prajapati bhavesh,2016-06-26,good
2620,arlan lelis,2016-06-26,nice
2621,a google user,2016-06-26,nice
2622,heidi howard,2016-06-26,picture
2623,tural musaibov,2016-06-26,after add a new email cant make it default button do not work
2624,renee cheuvront,2016-06-26,tom?
2625,matilda mensah,2016-06-26,easy as abc
2626,imran shaikh,2016-06-26,i have be used this since long time
2627,daniel gaz,2016-06-26,nada amig  vel e precisa se esfor  ar muito para interagir corretamente com outras pessoas 
2628,imam firdaus,2016-06-26,good
2629,leonardo flojo jr,2016-06-26,hi please include attach button for document
2630,zara sadiq,2016-06-26,i love this aps
2631,carl anthony ventura,2016-06-26,i be encounter the login error issue and be direct to a the browser website instead  not easy to use anymore
2632,jeffrey nickle,2016-06-26,i love the and it s great to read about 75  of the individual when recruiting  i d recommend add group organization and allow edit of these and volunteer events  that be the one lackluster thing about the   only a 75  solution to the web page 
2633,uma bharathi,2016-06-26,wonderfull
2634,mohemmed ilham,2016-06-26,it be better than facebook 
2635,talent mutasa,2016-06-25,really easy  u0026amp  informative
2636,rishabh singh dhir,2016-06-25,working very well
2637,hendrykus saetiadi,2016-06-25,cant even login to this anymore after the recent update   please fix it 
2638,rey galang,2016-06-25,very useful  
