,Author,Date,body,Class
571,shriram venkatraman,2016-07-13,didn t find my wifi on galaxy s7 edge  i used the laptop to the setup ,1.0
572,baudouin g,2016-07-13,work better before update,1.0
573,rod pam,2016-07-13,would be nice to be able to use headphone in my phone or tablet while cast to my tv ,
574,audra lowery,2016-07-13,cheap easy to setup easy to troubleshoot integrate into nearly everything i want to watch ,
575,kram ethnic,2016-07-13,it s not get connected  it show cast screen option and the moment i click it  it get a blank tv screen and the lication say disconnection  need to fix ,1.0
576,j sev,2016-07-13,the very nature of this system mean it should understand virtually any video and audio format you throw at it  alas google have decide to only support a pitiful handful make the whole system next to useless  have some avi wmv divx mkv etc etc file you want to view on your tv? forget it it only support a couple of formats  and even if you do have a file it understand you ll probably get no sound as it only understand a pitiful variety  no dolby digital or dts support etc etc  don t waste your time with this system ,1.0
577,kawi ninja,2016-07-13,everything be hook up properly and it cant find the device ,
578,tim stephenson,2016-07-13,work well on sgs5 and sony z  note 10 1 2014 freeze and shut down make it unusable when casting  all other s work ok,1.0
579,natie b,2016-07-13,i have a nice sammy note 4 phone and the latest chrome dongle  i get them to display the big blue logo on the tv but that s about it  it doesn t work  save yourself some hair and an hour off your life you cant get back  don t install this,1.0
580,john hurst,2016-07-13,i use this every single day and it s great  can be 5 star but need some work ,
581,brandi kunkle,2016-07-13,we used to have a computer and wireless keyboard and mouse  they be always run out of battery and be never where we need them  now with chrome cast we have everything at our fingertips! i always have my phone on me! we like this product a lot and have not have any problems ,1.0
582,burak costello,2016-07-13,volume cut off while i watch a movie,
583,lobo x,2016-07-13,between this be my watch on my galaxy s4 have a lot of control over my viewing experience  it install seamlessly and i ve have no problem with it for the last 2 weeks ,
584,ionut badea,2016-07-13,same as mr  david williamson stated ,
585,ed williamson,2016-07-13,this thing be drive me mad  it work for a couple of month then just stop connecting  i reset it via the unit and reconnect it  nothing  totally bloody hopeless load of crap  i m used a gen two ,1.0
586,johannes kingma,2016-07-13,after successfully set up chrome cast the loose connection  the chrome cast stream effortlessly ,1.0
587,latoya banks,2016-07-13,do not work,
588,george dallinger,2016-07-13,normally work well but screen cast button have go on galaxy s3,
589,themadstrikers,2016-07-13,the game isnt compatible with my device i see video of the game and thought it be cool that why i still give a 3 star,
590,jim holmes,2016-07-13,what hen to screen cast ?,
591,george montoya,2016-07-13,do not buy this product  it s horrible and always have connection issues  my mother have the amazon firestick and it have have no problem from day one  i ll be get the firestick this weekend because i ve have it with chromecast  garbage ,
592,hmny alqatefi,2016-07-13,i buy it a month ago it be work nicely until the last update it want my location and always tell me it will not work because of my location i live in kuwait please fix this problem,1.0
593,creative data,2016-07-13,win t stay link to wifi boot out 5 min or less  ,1.0
594,gabriel motta,2016-07-13,the best,
595,reyhaneh seifipargoo,2016-07-12,not bad  huh?,
596,james dunworth,2016-07-12,google chromcast i luv it big time the best  35 i ve spent!!!!,
597,ramesh rider,2016-07-12,super,
598,christina rumble,2016-07-12,it allow me to put my video on the tv that i play on youtube it be amazing,
599,jun kohatsu,2016-07-12,title,
600,jennifer heinonen,2016-07-12,cast,
601,joben santarin,2016-07-12,good,
602,archie gulmen,2016-07-12,i can connect my lg stylus dab  phone but cast only last about 3 4 minutes  why?,1.0
603,michael young,2016-07-12,since update it no longer recognise my device  i ve try re set it back up but still nothing  absolutely waste of money and plastic ,1.0
604,joe morris,2016-07-12,ok here be the issue of have a htc desire 626 and try to use chromecast device  it win t work with just the htc 626 desire phone you need a separate device or have home wi fi installed  htc have its own device similar to the chromecast but not sure if it s worth the price though and know chromecast can be used by more than one brand device  but two device be require for the htc 626 desire phone  i use my samsung tablet that have no wi fi on its own and have to be a wi fi for it to connect to ,1.0
605,kanika narang,2016-07-12,it be a good to use from any remote device to cast screen on your tv but sometimes it really irritate the user when say device miss even when the device be turn on and can be add from another devices  need to be fix soon,1.0
606,anatoli bocancea,2016-07-12,it stopped!!!! why???? be good now will go to refund it angry,1.0
607,tahsin sarker,2016-07-12,it function fast if you have the proper devices  doesn t cast to screen very well from samsung tab 4  have issue with casting video from chrome  the icon for cast a video from chrome or other browser on android do not ear  all other s work fine  will heat up a bit when cast screen ,1.0
608,prob hash,2016-07-12,it have get so many limitation and google support team do not bother to help you ,
609,christy ebeling,2016-07-12,start out in love with chromecast   now i can only connect to vudu  try netflix it win t connect  everyday seem to be get worse  i will be go back to ruku,
610,loris gallucci,2016-07-12,funzionava perfettamente con i smartphone ma ora dice che non    pi   ottimizzato e di conseguenza non funziona pi   bene  risolvete,
611,geewil williams,2016-07-12,rubbish,1.0
612,derek ingleton,2016-07-12,i ve have 2 chromecastaudio device and for 4 month awesome  now i struggle to find the devices  i have try all the recommendation to limited success  sometimes i see one sometimes 2 but more often none  i have try various tablet and phones  one that work today doesn t work tomorrow  google great product when it work please fix ,1.0
613,steve green,2016-07-12,it be fine last night  now my device can t find it  un install and reinstall but now my device say i m connect but nothing be casting ,1.0
614,mike higgins,2016-07-12,extremely unreliable  spoil my evening one time too many now in the bottom of the pond  avoid ,
615,jesuss barroso,2016-07-12,jbr620722,
616,brian pittman,2016-07-12,horrible since last update ,
617,duane cook,2016-07-12,let us cast our phone screen with wi fi direct eliminate the need for internet by the chrome cast  piss me off to need wi fi to cast to my tv  this suck as is ,1.0
618,joseph k garcia,2016-07-11,stream,
619,nicole zimmerer,2016-07-11,it s ridiculous that i must have a wifi connection to cast  i have an android phone and i m try to connect to a google cast with my unlimited data plan so i can watch a movie from netflix on my tv  i ve spend a few hundred dollar on the galaxy note 5 and the cast dongle but i still can t screen mirror without a freaking wifi connection? worthless ,1.0
620,jonathan bonnette,2016-07-11,never connect to chromecast and just act like it be but the play window never pop up  cannot cast to any device now used any program that s on the play store include local cast with my primary casting  ,1.0
621,adelfadel abdrubaye,2016-07-11,amazing way to watch the video on a big screen ,
622,jesse troutman,2016-07-11,it s awesome,
623,david lomas,2016-07-11,i buy a sony wireless speaker with build in chromecast audio support big mistake  it should never have be certify buy google  it be rubbish always drop connection or worse cannot even create a connection and i have to continuously reset  it also win t let me create a group with my cast audio dongle  i m guess cause sony be so slow to update firmware to latest cast version ,1.0
624,samuel greene jr,2016-07-11,work great  easy to use ,
625,john andersen,2016-07-11,have used it alot but at some point i begin have trouble chromecast will lose connection to netflix the show will continue but i can t control it ,1.0
626,aleecha anderson,2016-07-11,i love how this connect to your tv and let s u watch anything,
627,corie holden,2016-07-11,wont let me screen mirror from my s3 to first gen chromecast ,
628,5t0n3 c4rr011,2016-07-11,laugh out loud,
629,a google user,2016-07-11,win t stay connect to pandora  or be recognize as an option most of the time maybe time to move on to something else  ,1.0
630,joeseph wysocki,2016-07-11,do not recognize newer tablet,1.0
631,obed vazquez,2016-07-11,it give more trouble than it solve u u and i like google service but this have be a nightmare,1.0
632,jeffrey layosa,2016-07-11,device not find always! not recommendable!,
633,geo licea,2016-07-11,work flawlessly have 2 one i m bedroom and one in living room both runninge off of an old android phone  who need cable,
634,geoffrey best,2016-07-11,don t buy one completely useless on any device,1.0
635,emily fiocco,2016-07-11,erratic functionality work in the morning and then the icon disear from s like netflix and pandora in the afternoon  frustrating rollercoaster of usefulness ,
636,ole kv  rn  ,2016-07-11,no photo cast,
637,michael carton,2016-07-11,not sure if the fault of chrome cast or the s but i get choppy connectivity and dropped connection all the time  some offend s be comedy central and nbc  when screen cast it be pretty choppy as well  sometimes take a few try at connect to prevent a freeze up  chrome cast be a few foot from router that get 35mbs down  concept be good ,
638,romain savarin,2016-07-11,too much lag even if it s usefull ,
639,brian gorney,2016-07-11,i follow the step exactly and it can t find the chromecast  i set it up for my laptop so i know it works ,1.0
640,dj tear,2016-07-11,keep it up google,
641,c booth,2016-07-11,pain to set up keep disconnect my wifi and then win t set up because it can t connect to my network  waste of time and money better to invest in smart tv dvd player with wifi or roku ,1.0
642,stefany d,2016-07-10,absolutely no complaint have it on 3 device dont know why it doesnt have a five star rating ,1.0
643,reda moncef,2016-07-10,bug bug qe plante,1.0
644,mohamad tanbal,2016-07-10,i hope you guy add listen on headphone feature so when i plug my headphone in my phone and turn on this feature the sound will stop come from the tv and start s to play only on my phone s headphone i hope you guy add it it will make google chromecast perfect,
645,rockinglord,2016-07-10,to all samsung s7 edge users  dont buy chromecast  waste of money  doesnt work on my samsung s7 edge  always disconnecting  can not do mirror too on samsung s7  biggest regret buying this ,1.0
646,luis zafra,2016-07-10,the only problem be to slow be,1.0
647,michelle mata,2016-07-10,never works anymore  we just bought a roku,
648,adel o,2016-07-10,win t show up on my samsung s6  factory reset only to get all sort of error messages  i spend more time set it up than actually watch anything on it and that s when i m lucky  even connect to help center to assist with all the problem be another freaking problem  freaking piece of crap ,1.0
649,meraf allebachew admassatchew,2016-07-10,it corrupt the way youtube work,
650,maer blaidd,2016-07-10,really disoint in google lately  chrome cast disconnect constantly their music win t work unless you restart it youtube be absolutely atrocious recently and they don t seem to care ,1.0
651,cristian espinosa,2016-07-10,do it need wifi,1.0
652,marie love,2016-07-10,i love it,
653,anson bates,2016-07-10,it drop to much evertime i try to play a movie,
654,sandeep kumar,2016-07-10,easy to use if you be already in wifi zone  it should directly connect to mobile  make this change google ,
655,rain justine albofera,2016-07-10,any lupet,
656,danny dominquez,2016-07-10,awesome device!!!,
657,jayceleen t,2016-07-10,i hate it but i m know for hate thing soooooo  don t judge,
658,dario rendon,2016-07-10,this doesn t work keep disconnect and turn off on its own if possible please fix,1.0
659,donald jewell,2016-07-10,i like everything about this but i would like the ability to access the file explorer to view or play file on my sd card  do this and it will get five stars ,
660,anabel delgado,2016-07-10,love it,
661,alice gillis,2016-07-10,cromcast,
662,julia ysabelle saile,2016-07-10,waste of money  couldn t connect to my s7 edge note 3 and samsung tab 2  greatest regret buying chrome cast  bs!,1.0
663,juan pablo fonseca zamora,2016-07-10,i m have issue when i want to use photo with the chromecast,
664,paulo silva,2016-07-10,movie,
665,n  san manfive bro,2016-07-10,ask for a lot of personal datum that it don t need  and last update break my connection with 1 gen cast dev !,1.0
666,catherine miranda,2016-07-10,i use hulu and netflix connect to my chromecast to watch show on my tv  recently i experience get disconnect all the time  the show still play on the tv but if i attempt to pause or rewind or forward it my phone be no longer connect to chromecast  if i get connect again it do not even resume to the last scene shown  this be so frustrating!,1.0
667,ryan st  louis,2016-07-10,just another way for google to make money! i constantly have to restart the unit unplug it or throw it across the room  when it do connect it work great what the fuck google!!!!!!,1.0
668,shaath sean,2016-07-09,great function,1.0
669,tangela ayala,2016-07-09,thus be the worst device that google have make,1.0
670,shanna rascoe,2016-07-09,google cast be great for our home,
671,bharat gowda,2016-07-09,good for big screen browsing ,1.0
672,jason holutiak,2016-07-09,love my chromecast upgrade my home network and it work great ,
673,ben frawley,2016-07-09,plug your chromecast music into your amp and stream music from your phone computer or tablet to it  supurb quality  only use the second generation chromecast though  first generation be crap ,
674,kathy sitzler,2016-07-09,amazing programming,
675,raiden vax,2016-07-09,have to factory reset phone now all i get be the let s set up your chrome cast or link backdrop popup,1.0
676,victor beltran,2016-07-09,work pretty good,
677,adnan rafique,2016-07-09,whenever try to connect the screen it be not earing  ,1.0
678,yogesh pandya,2016-07-09,why indian channel cant share,
679,ray clawson,2016-07-09,thank,
680,david williamson,2016-07-09,i have just spend more than an hour try to reconnect to my first gen chromecast after it be updated  none of my device can find the chromecast to allow me to cast to it  i try a reset but it be still invisible to setup and casting  online research show many other have have the same issue with no resolution  thank google for a worthless hunk of plastic that be go in the trash ,1.0
681,shaun hayes,2016-07-09,have samsung,
682,geneva perkins,2016-07-09,why do they stop work it be work fine when my husband board it work on my phone and his now i don t work at all we have it for a year now it say that google can t find cast please fix the network please,1.0
683,p frederique,2016-07-09,well investment,
684,mahesh chand,2016-07-09,you hewe to veary nice good s,
685,karolina denert,2016-07-09,can t get it to connect to youtube or netflix half the time  have to unplug it and plug it back in multiple time a day,1.0
686,natalie alfaro,2016-07-09,easy and efficient,
687,martin emerson,2016-07-09,cannot find the chromecast from my z3 compact but can screen cast used the build in  ,1.0
688,dom quixote,2016-07-09,love it but it heat up my device,
689,andy lau,2016-07-09,its tight as fu   u0026amp      u0026amp  !,
690,ieuan ekins,2016-07-09,everytime i go to use my chromecast both my tablet and the chromecast freeze this have be hen for the past 2 month now can you please sort this out  it really be begjnn to mw annoy at the fact that i cant even use something ive paid for ,1.0
691,lloydb _nme,2016-07-09,i love chromecast everything almost perfectly but there be something that need work  s like the wwe network can t be cast to your tv without cast your entire screen which destroy battery  and it would be cool if we can play music that we have in our library and not just the one we bring,
692,a hartford strong,2016-07-09,crazy!,
693,my son,2016-07-08,i have have no problems  i love it,
694,sherrie philips,2016-07-08,continuously reset,1.0
695,viamaris figueroa,2016-07-08,only thing i hate be that if you dont have wifi its pointless  but over all with wifi it work perfectly ,1.0
696,william lau,2016-07-08,cc version 11 67 suck always frequent disconnected and can t reconnect when used latest youtube 11 25 55  before be 5 star,1.0
697,big money,2016-07-08,absolutely amazing,
698,tarl lambson,2016-07-08,reliability seem to be get worse instead of better,
699,theresa white,2016-07-08,since last update no longer works  have send an email explain issue please help would love to give you a 5 star rating as normally really love this  ,
700,arlene esquivel,2016-07-08,finally google cast be work it s about time!,
701,binks mike,2016-07-08,bug cause audio to reset to max and require blare audio for 10 second before allow audio to be bring back to clean level and default volume level be miss from setting in latest release  other than that it doesnt have issue do what its supposed to default to hd witheverything when available   just wish amazon would get with the times ,
702,nonglak kjernlie ngamrat,2016-07-08,i m stay in thailand and it s nice to see some norwegian tv with chrome cast ,
703,carlos maravillo,2016-07-08,k,
704,dexx ha,2016-07-08,cant create group,1.0
705,david mcginnis,2016-07-08,inconveniently frustrate,1.0
706,shriya sreekanth,2016-07-08,it is very good and works awsome  very impressive     ,
707,lisa silvasy,2016-07-08,work like a charm from all devices! love it!,
708,msblase hicks,2016-07-08,i use this daily to cast to my non smart tv  it actually work faster and better than the smart tv i have ,
709,jose carrasquillo,2016-07-08,movie,
710,aaron miller,2016-07-08,totally digging my chromecast and this associate   simple functional and straight forward  nice job google  update  everytime i attempt to stream a movie via google play movie as well as un pause a movie i have to unplug my chromecast to reset it to remove captions  frustrate because caption be off in my settings  i m reconsider where i purchase steam digital movie provider at this point since there be so many  previously 5 star now 3 ,1.0
711,arlyn joy pineda,2016-07-08,keep it up!,
712,cesar castillo,2016-07-08,    ,
713,alex finn,2016-07-08,i can t stream video from my google chrome browser to my chrome cast,1.0
714,shane busiko,2016-07-08,couple with the cast dongle this have get to be easiest way to stream content to your tv  i now have three chromecast and they all just work  movie picture sideshow or music couple with plex and this it just works  no more dlna crap it s chromecast all the way,
715,jonathan jarrell,2016-07-07,i like it but half of the time it fail to connect and it very frustrating and then i either have to unplug it or reset it in order for it to work ,1.0
716,karthik kihtrak,2016-07-07,it can be improve in cast with hotspot enabled ,1.0
717,samantha yates,2016-07-07,why do it keep disconnect and need to be reset and factory reset all the time!?!?!,1.0
718,michael paprota,2016-07-07,doesn t work with iheart radio  will connect one out of 50 time if you be lucky,
719,lisa steinig,2016-07-07,can t mirror lately  keep disconnect everything i try and do,1.0
720,wayne spicer,2016-07-07,mine work fine  u0026amp  i normally only run 3 5 mbs ?,
721,kevin whitfield,2016-07-07,new update suck,
722,atswei gill,2016-07-07,disconnect while stream whenever it feel like it ,
723,corey scott,2016-07-07,have everything you need to get everything going  plus some features ,
724,robert moreau,2016-07-07,suck,
725,jayr squeeze,2016-07-07,garbage,
726,dykw uquit,2016-07-07,so far so good,
727,souk tv,2016-07-07,i ve buy 5 chromecast device they be all on my network and be all working fine  i ve have no change to my network yet all of a sudden none of them will connect  the show up i push connect and i receive a message say casting have ended  this be some bs google ,1.0
728,samuel elia,2016-07-07,just have to update to android 6 0 1 and can t use anything but youtube reliably,
729,pooja rm,2016-07-07,it be very good for entertainment,
730,lilrask _,2016-07-07,so i uninstal it  u0026amp  download the pc version with the chrome extension  even though the size of this apk have quadruple over the year take up valuable realestate i haven t see any noticeable difference feature or improvement to the overall casting experience  the pc version do the exact same as this if not more ,1.0
731,kunal vaidya,2016-07-07,great,
732,jerome yudiet,2016-07-07,help a lot,
733,masoud borzuee,2016-07-07,perfect,
734,kevin giles,2016-07-07,no major issue yet,1.0
735,evanesa daniels,2016-07-07,i would like to be able to use it on an open wifi network,1.0
736,david roberts,2016-07-07,watch myself play gm s on the tv,
737,jaskaran singh,2016-07-07,unable to cast to chromecast ver  2   it say no device find,
738,my saudi line,2016-07-07,very bad,
739,teodor radovic,2016-07-07,it keep on lose connection and my phone doesn t recognize it,1.0
740,marcus mccoy,2016-07-07,great way to have a smart tv,
741,casey jenkins,2016-07-07,would be hier if i can use wifi direct ,
742,martin depper,2016-07-07,i m hy with video play but just when play music through android music player why be there a log fire all the time  can t find how to change it!,1.0
743,matthew ritchie,2016-07-07,so droid maxx 2 chromecast barely work at all  it can screen cast just barely the cast icon on video via chrome never show up so you can stream it to the device  also netflix doesnt get the icon on this device  i have update play service but nothing seem to work ,1.0
744,a google user,2016-07-07,movie night and showbox here we come,
745,ej lillie,2016-07-07,doesn t work with the xfinity network  i ll update when i have access to a router,1.0
746,josh ford,2016-07-06,so i just turn on my tv and espn be already playingfor  u0026amp gt 24hrs  please update so when the tv be power off the chromecast also stops ,
747,ravi kanth,2016-07-06,why?? used same wifi why internet be need here?? and also should show internet usage statistics ,
748,debra shelton,2016-07-06,love it,
749,jake radanich,2016-07-06,i have 2 different chromecast at 2 different house and niether of them work  i ve try with 3 phone to use it but none connect  customer service be a nice waste of 3 hours ,
750,ashley brown,2016-07-06,be able to use but now i can t cast to my tv  i can only disconnect but then it win t disconnect  plz fix,1.0
751,theodore ortmann,2016-07-06,the chromecast do what it s intend to do but my desire 626 cannot cast it s screen  i have the option to do it but when i hit connect it immediately disconnected  please help ,
752,phyllis goble,2016-07-06,the best way to watch tv 35 00 with no commercial but chrome need to fix the bug so it will connect better  ,1.0
753,apu layek,2016-07-06,this s or chrome cast lag when me try to share my mobile display with my lg full hd tv this problem face only when me try to play an full hd or 720p hd quality video playing but in case of low quality video its smooth and no lag me usee 1st generation chromecast device   ,1.0
754,ar co,2016-07-06,be unusable but now it work it still have some issue but much better overall,1.0
755,viv deaker,2016-07-06,used to be brilliant but sadly doesnt seem to work since update,1.0
756,david mac,2016-07-06,easy,
757,justin oliver,2016-07-06,total crap after latest update,1.0
758,jorich pacamarra,2016-07-06,it doesnt work on laptop!!! please fix it immediately!,1.0
759,dima datsenko,2016-07-06,after july 20th update it stop detect my chromecast devices  youtube still see them,1.0
760,rajesh n p,2016-07-06,great experience,
761,corina pegram mills,2016-07-06,loose connection frequently and be jumpy sometimes  but when it work it s brilliant ,1.0
762,mohsen hashemi,2016-07-06,i have buy google chromecast2 a month ago ive already do everything to be able to cast but the cant find the device the only way i can sure connect be by root my device then install a vpn then tunnel the chrome cast via my phone hotspot with vpn on otherwise it wont work i donno why chromecast 2 restrict some country from access it this make alot of pain please update the device so we can connect to the device aswell witout set up a vpn,1.0
763,agustin narnola,2016-07-06,chromecast,
764,lindsey taylor,2016-07-06,keep disconnect,
765,sunil dutt,2016-07-06,excellent product,
766,ru chavez,2016-07-06,it s so easy so of something is not on bam! you can use your phone!!!          ,
767,laurence taylor,2016-07-06,working again hooray!!! i miss it which must be an indication of how good it be,
768,jessica velazquez,2016-07-06,easy to use,
769,rumley shea,2016-07-05,once you figure out all the in and out all the little tricksit s the greatest thing ever  it maybe need a few little latency fix for some game and it would be nice to put a couple patch in there for the remote control but other than that  awesome!,
770,jason coffman,2016-07-05,awesome    ,
771,jason glenn,2016-07-05,1  what s the point of have email contact through the play store if it be a no reply email? 2  how do you get in touch with someone to find out what s wrong with this without do hour of research in forums?,
772,amos thomas,2016-07-05,i love it,
773,warren grigg,2016-07-05,other s don t recognise it can t cast my screen complete waste of money,1.0
774,nitin patil,2016-07-05,it,
775,steven dougwillo sr ,2016-07-05,i love casting to my tv ,
776,c fergi,2016-07-05,work perfectly although you don t need it that often the chrome cast itself be a brilliant little tool have change my entertainment completely don t listen to the reviews say it lose connection or doesn t work they be person with slow internet andan old not so good device and be angry so they blame the device or if you have a good internet connection and a moderately up to date device you win t have any problem,1.0
777,sampheap say,2016-07-05,cannot add a new device,
778,jackie m,2016-07-05,simplicity be the first thing i love about the cast  it s such a simple setup  u0026amp  work great with my samsung galaxy s6 my daughter also have no problem used it with her iphone  i finally can watch netflix without it freeze up on me! chromecast be inexpensive and work well! my only issue be that some s win t work with cast   i m a horror movie fanatic and download an that play nothing but scary movie  u0026amp  when i try to watch it on tv it say that it doesn t work with chromecast ,1.0
779,michael barnard,2016-07-05,very easy to set up and great picture from my lg g3 on to 38 inch tv ,
780,namhor gerani,2016-07-05,,
781,ahmed radwan,2016-07-05,great but there be a significant lag when i cast my screen,1.0
782,ilyas aman,2016-07-05,sometimes no work co it be weird but it hen rare,1.0
783,benita castro,2016-07-05,its better watch in a big screen thank to this wonderful device,
784,gagandeep singh,2016-07-05,be work fine then one fine day screen mirror stop working  show no device find never work after that,1.0
785,vaibhhav dangar,2016-07-05,superb,
786,alex de la rosa,2016-07-05,this be one of the most frustrating google services  crash lag video playback be a hit or miss  need more update,1.0
787,camilo pereira,2016-07-05,amazing  i love it  i dont need tv never ever again  i connect it on my projector  no more tv bills ,
788,elizabeth r ,2016-07-05,i have minor issue with the and device but i use it everyday  i really like it a lot ,1.0
789,erik rosas,2016-07-05,useful,
790,india open,2016-07-05,k,
791,joshua tromp,2016-07-05,work great with my iphone but chromecast audio doesn t work with my m9  only that seem to stream be slacker  not pandora or iheartradio ,
792,john smith,2016-07-05,do not work with all the s it claim to work with  ,
793,luke ray,2016-07-05,only one outside of the cast l actually recognize any of my casts  what the fuck?,
794,andreas e  hopen,2016-07-05,it work great when it works  unfortunately 9 out of 10 time it doesn t work but this be only after the latest update  the chromecast can t find the chromecast  also many other s seem to only show the cast button randomly  and the cast in the notification bar can t seem to find it any longer either   i have a nexus 6p and a pixel c  same issue on both ,1.0
795,alisa s,2016-07-05,everything be work fine and then it just stop responding  i have reinstal the and try to look into bug fixes  when it work it s great but it need to work ,1.0
796,shivram s,2016-07-04,super,
797,david ardito,2016-07-04,update and now can t find chrome device disoint,1.0
798,michael perry,2016-07-04,outstanding,
799,aaron wrann,2016-07-04,it s very user friendly  i watch this more than capable tv,
800,lawrence yeo,2016-07-04,be work nicely for 2 month but just today it keep drop from wifi and then not able to discover devise  please fix it thank you,1.0
801,ryan rabatine,2016-07-04,can t use it ever since it become google cast ,
802,thomas belcourt,2016-07-04,gt,
803,josh clark,2016-07-04,used to work flawlessly now after the latest update error occur send you target device  this hen on my note 4 my tablet and my wife s android so it s not a device issue! please fix the crap update! i ve reboot my chromecast tv and device multiple times! the only way to get this working be to factory reset the chromecast!,1.0
804,thomas greenhalgh,2016-07-04,i see get s problem when watch a movie it will go out of sync why be this?,1.0
805,paul brinkley,2016-07-04,since update unit have be unusable be ok for seven month prior to update  try reset change wifi channel used different network and wifi hotspot to rule out router issue try different tv s and control device all the same wifi drop out shortly after connecting  exchange unit for a new one today out the box and the first thing it do be to update connect to wifi ready to cast when 15 second later exactly the same wifi disconnected  not hy since update spend money on a product that no longer works ,1.0
806,even steven,2016-07-04,it have one job and it do it well,
807,mark picotti,2016-07-04,good,
808,sam doyle,2016-07-04,i have buy two 1st generation in past 2years both have break ! i get the new one but it do not work on the same internet spend which a ps need so i be unable to use it while someone be on a ps which be the main reason for use  i be very disoint that not only have yous change design but also change requirement so i be now only able to us the faulty 1st generation which it have now waste my money on two ! and now need a third one! be request call back but no reply,1.0
809,jag shan,2016-07-04,doesn t connect to youtube like before  i have 3 tvs with 3 chrome cast and now i regret buying them ,1.0
810,angie perkins,2016-07-04,disointed!!! update now it can t find chrome device  please fix ,1.0
811,marky_ markk97,2016-07-03,easy and amazing,
812,javi castillo,2016-07-03,on slingtv it always freeze on hulu it always feezes  this buffering suck every freaking thing i watch!! really consider drop this and go with the other product out there as reviews for this suck for the s that i use the most!! annoying!!!!,
813,luis flores,2016-07-03,i have have this on a few of my device and always do what it be suppose to do can t go wrong with it ,1.0
814,tc whiterabbit,2016-07-03,everything else work fine but something with twitch and chromecast don t blend well anymore it suck,
815,preetam singh,2016-07-03,fit expensive technology in budget thank google ,
816,steve lock,2016-07-03,work great use it a lot a    ,
817,randy jones,2016-07-03,i hear the developer of chrome cast have be block by google so that you cannot cast your own picture and movie from your phone  from pressure from netflix be this true?,1.0
818,disillusionedbyitall,2016-07-03,nothing but problem since i first purchase it  constantly unable to maintain any kind of decent stream and the update seem to be completely pointless  whoever say this be ready to go on the market should take themselves off to a round room with no door sit in the corner and have a word with yourselves ,1.0
819,wilson nieves,2016-07-03,excellent,
820,karim sumar,2016-07-03,whilst this be a compact smart product despite have 100mb broadband the signal be ok and resolution not always brilliant  occasionally it drop off and i don t understand why google can t permit the entire laptop to be casted  eg would be nice to project excel powerpoint onto a large plasma! nothing beat a stable hdmi cable!,
821,                   ,2016-07-03,,
822,scott swain,2016-07-03,get connect and maintain connection be both buggy  same with new chromecast v2 hardware ,
823,scott ilkenhons,2016-07-03,if you stream anything on your device you must have this to cast to receivertv when you be home ,
824,douglas robles,2016-07-03,doesn t work,1.0
825,malia jhun,2016-07-03,chromecast win t let my phone connect ,1.0
826,miguel duarte grieder,2016-07-03,10010 ign,
827,rob cursons,2016-07-03,work great on both my nexus device never fail to cast video screen mirror or even from chrome on my mac  easy ,
828,franke hernandez,2016-07-03,work well with home wifi however do not work at all with wifi direct  i prefer to use the mobile network data and not the home network which be far much slower and congested due to multiple device connected  fix this and it s an easy 5 stars!!!,1.0
829,shane jb,2016-07-03,overall we have be pretty hy  we own two and have the early connection loss issue but it s better  one issue we do have since the last update be the stop cast featureespecially with the que function in youtube  we just can t get it to stop cast without completely back out of yt open the google cast and shut down from there  not a deal breaker but annoying if you be simply look for something specific or set up a que playlist instead of it auto selecting ,1.0
830,gabriel guice,2016-07-03,great,
831,felicity barton,2016-07-02,when this work it s amazing  but too often it doesn t register the device and take age to get going  fail ,1.0
832,sai mugunthu baskaran,2016-07-02,i have a fast wifi connection with a moderate fair usage policy and not be able to choose video quality when stream from youtube really hurt my fup  i really hope you guy can add a preferred stream bitrate option in the settings ,
833,angus robinson,2016-07-02,it be okay i guess ,
834,criselia mejia,2016-07-02,only work good for 2month then constantly freeze n crash i do not recommend waste 40 on this garbage  no matter what device i use it b constantly freeze n crash shake my head,
835,prashanth randadath,2016-07-02,a must have device if you use the follow a smart phone  a tv with hdmi port  high speed access to the internet,1.0
836,omer syed,2016-07-02,keep restarting  shocking that google still hasn t release an update to fix this ,
837,kane wendlandt,2016-07-02,be unusable choppy playback  turn off bluetooth and bam it work like it should  bluetooth must interfere with the wi fi  not perfect still disconnect once in awhile but worth the  35 and then some ,
838,corbin raber,2016-07-02,on friend account and troll,
839,tony wolfe,2016-07-02,chromcast,
840,kaniya jordan,2016-07-02,i have a old chromecast and it doesn t work at all  whenever i try to stream a movie the little icon doesn t pop up in the corner like it used too  also i can t use my iphone because u guys aren t on store yet  i think i m switching to a firestick    ,1.0
841,diego macedo,2016-07-02,and be not a glitch basically they too away capability from the to sell their garbage i used to be able to screen cast onto my xbox but now you can only stream s or the movie they sell sad really,
842,karen eve,2016-07-02,i couldn t get my chromecast to work until i get this !,
843,sofia lozada,2016-07-02,work,
844,chris gonzo,2016-07-02,this screw my wifi like bbrruuuhh,1.0
845,daniel morales,2016-07-02,latency have be really bad  also it wont let me connect to my 5ghz wifi although my phone be connect to it ,1.0
846,miss binkki,2016-07-02,i love the it s awesome to watch from my phone to my tv  easy to use and normal issue like need to reboot  that s the only issue i ve every have,
847,jonathan gittings,2016-07-02,for some reason the little cast icon be no longer available so i can no longer cast from my android phone to my android tv,1.0
848,missy bansda,2016-07-02,you don t need this  it never work,
