,Author,Date,body,Class
2501,george stroebel,2016-07-04,please remove from my device,1.0
2502,tim ward,2016-07-04,all!!,
2503,ap                                   chinnangan yashi,2016-07-04,my fev,
2504,syvlia pinagapany,2016-07-04,briliant,
2505,nasreldin ibrahim,2016-07-04,the lion and the king,
2506,mohammed zanna,2016-07-04,good,
2507,kate cecil,2016-07-04,phone,1.0
2508,john demianiuk,2016-07-04,never any issue,1.0
2509,karunakaran p,2016-07-04,it s very useful,
2510,sanjay sahu,2016-07-04,good think yeahhhhhhhhhh,
2511,akshay dev,2016-07-04,it s pretty decent and do the job easier,
2512,shangyibwa samson,2016-07-04,very good  ,
2513,holly jaye,2016-07-04,make it ezr to transfer pix android to drop box will get 5  ,
2514,free thinker,2016-07-04,this is by far the absolute slowest lication for cloud     storage  try any other cloud storage lication and you ll see exactly just how slow and cry truly is!                                                                                                                                                                             ,1.0
2515,kh    ng nguy   n,2016-07-04,i used it for a long time,
2516,jordan wesemann,2016-07-04,i be initially hesitant about security but take the plunge and find it so convenient to have my misc file available wherever i go  i also have google and microsoft s offering but prefer  ,
2517,mika'il hamza safiyo,2016-07-04,so  hhjub ila j,
2518,susan cooper,2016-07-04,luv this make life easier to organize everything ,
2519,kirti dev,2016-07-04,kkk,
2520,twila hayward,2016-07-04,drop box,
2521,nirdesh dwa,2016-07-04,it s so simple easy and fast to save retrieve and share file used   and the android version make it easy for me to find my file on the go ,
2522,loretta smith,2016-07-04,very handy !,
2523,amit goyal,2016-07-04,nice,
2524,laura sandler,2016-07-04,used to work great now nothing automatically uploads  i have to add the picture i want to the manually to get them on my computer ,1.0
2525,asif tanzin,2016-07-04,anywhere i can use it,
2526,rajat kandpal,2016-07-04,very useful,
2527,sonam gupta,2016-07-04,search champcash earn money on playstore and champcash install karne ke baad signup with champcash kare  please join our team refer sponsor id 2771832 and join me _earn rs  1 000  a day as part_timefull time job so don t waste your time install hurry up  after installation sign up karne k baad jab sponsor id maange to id 2771832 daal dena be se aap meri team me join ho ke and challenge complete karke 50 000 per month kma sakte hai   champcash id 2771832,
2528,moses acuna,2016-07-04,love it safest,
2529,tobias gammal,2016-07-04,the save to device do not work anymore  it just say wait to export and nothing hens ,1.0
2530,suraj jadhav,2016-07-04,nice,
2531,aziz a khan,2016-07-04,work,
2532,hamza sharifi,2016-07-04,thank,
2533,valerie stockard,2016-07-04,awesome,
2534,goodluck munisi,2016-07-04,good,
2535,julliet andrews,2016-07-04,love it,
2536,donna williams,2016-07-04,wonderful,
2537,preeta hirjee,2016-07-04,easy as abc,
2538,beherenow,2016-07-04,must have chromecast support  otherwise it s pretty good ,
2539,zachary staton,2016-07-04,love this ! work better than google drive for me!,
2540,shelley schoenfeld,2016-07-04,please protect and safe my device from all harmful and unnecessary thing s like you would your own device s etc  thank you so much peace ,
2541,jemal mohammed,2016-07-04,really,
2542,medusas mom,2016-07-04,use it all the time! love !,
2543,jill lindsay,2016-07-04,can t get drop box to work,1.0
2544,rick shonk,2016-07-04,good,
2545,jwages rajuncajun,2016-07-04,automotive diesel mechanic shop,
2546,laura tackett,2016-07-04,this be great that i can see everything i want from laptop to phone to tablet  thank,1.0
2547,mercedes maillet,2016-07-04,not difficult,
2548,nick mosing,2016-07-03,decent system though used to be better in much older versions  biggest reason to use someone else horrible upload speed  and no it s not my connection cause multiple other service be way faster ,1.0
2549,a google user,2016-07-03,nice,
2550,brams budi,2016-07-03,ok,
2551,mike woodland detectors,2016-07-03,work great,
2552,emiro s  nchez,2016-07-03,it doesn t upload any file from the phone whatever the file type it is  i try delete and reinstalling but nothing  my internet work fine and it doesn t matter because it doesn t upload with wifi or mobile data  the desktop version work so well but android one be just really bad  it doesn t even upload the camera album because that function skip some of the photo and stop uploading after 5 or 10 of them  i be very doubtful on used this service and now that i do i m very disointed ,1.0
2553,brendia harley,2016-07-03,blockchain demo,
2554,rb sapp,2016-07-03,i m excited   i m all shook up ,
2555,sonia ball,2016-07-03,i love this but for some reason every time i try to upload something the just stops  so disointed ,
2556,mohamed gamal,2016-07-03,easy to use,
2557,jose pages,2016-07-03,good job,
2558,james obeng,2016-07-03,good for me,
2559,luis rivera,2016-07-03,perfect for me,
2560,cheryl gresson,2016-07-03,best!,
2561,raja nithish,2016-07-03,super,
2562,carlos saucin,2016-07-03,nice,
2563,benzo rhea,2016-07-03,great cloud storage,
2564,juanita samasoni,2016-07-03,4 y all,
2565,mrjac56,2016-07-03,to many permissions  updates  storage should not be intrusive ,
2566,amit oak,2016-07-03,a life always remember,
2567,berlian takwa,2016-07-03,love it,
2568,lemuel smith,2016-07-03,delete all of my pic,
2569,tony hazel,2016-07-03,cool,
2570,kawsar hossain,2016-07-03,it s,
2571,ali salmas,2016-07-03,,
2572,mohideen jainudeen,2016-07-03,oh,
2573,sonu k sharma,2016-07-03,be a good way to save your pic file and video   it be very useful for everyone ,
2574,epicr0bl0xgirl,2016-07-03,let me uninstall this game it be just take up space!!!!!!!!!!!!!,
2575,john richardson,2016-07-03,wish i understood it better so i can make better use of it  wish i can back up to my own external storage with ease  i m sure you can but i don t know how  notarize tutorial video would be great,2.0
2576,papang jakfar,2016-07-03,refresh filesfolder very slow  refresh button seem not work at all  take hour for just a little number of file to ear in my mobile ,
2577,raja raeel,2016-07-03,wow,
2578,manabendra ray,2016-07-03,there be many cloud storage option but be my default for several year now  work with most s across all the operate system work through most complicated proxy connection  only one of it kind  if you ever come up with a lower price 50gb yearly subscription 10  i will be there  1tb be too much for me ,1.0
2579,ahmed omar,2016-07-03,i like this it s support to keep all my imp  file safe ,
2580,kozhi gautam,2016-07-03,benny,
2581,a google user,2016-07-03,please,
2582,hayan abu hamdan,2016-07-03,thank,
2583,kian karl carpiso,2016-07-03,i easily dl my file it really help a lot on my work,
2584,devesh mohan,2016-07-03,let me have a try first,1.0
2585,                         ,2016-07-03,                             ,
2586,asiye esmayili,2016-07-03,,
2587,munna jeelani,2016-07-03,it s working nice have it everyone,
2588,panthera,2016-07-03,try this,1.0
2589,wayne brackenridge,2016-07-03,i like it ,
2590,rasheed mogaji,2016-07-03,good,
2591,andrea campania,2016-07-03,why i cannot install this i have more space but its say that inffucient storage  ,
2592,handoko boenawan,2016-07-03,good,
2593,krishan gopal sharma,2016-07-03,excellent ,
2594,dave jackman,2016-07-03,would get 3 or even 5 star if it can be move to external storage  uninstal until the problem be rectified ,1.0
2595,a google user,2016-07-03,very good,
2596,deepak kumar,2016-07-03,gud,
2597,jay mahdi,2016-07-03,great,
2598,angel figueroa,2016-07-03,great lication  ,
2599,a google user,2016-07-03,great but miss offline folder,
2600,nataliya crouse,2016-07-03,i like it be easy to use for the most part and very convenient  one fix i would recommend be a more easy way to switch between account like how many email s allow you to quickly switch between inbox  ,
2601,pratik kange,2016-07-03,good one,
2602,len magno,2016-07-03,very useful and easy to use ,
2603,ratan rana,2016-07-03,good,
2604,mega lestari,2016-07-03,i m always aware of miss my file but since be there i have no worry again,
2605,rahul gacche,2016-07-03,mast,
2606,                     ,2016-07-03,,
2607,jason stubblefield,2016-07-03,if i want it i would have download it ,
2608,misu limbu,2016-07-03,easy way to keep file s inorder i like itmake me find my file easy  ,
2609,ganesh boy,2016-07-03,ddboy,
2610,uttam bhowmic,2016-07-03,,
2611,jai choura,2016-07-03,wherever you go your pic video with you always at any phone,
2612,mark agonia,2016-07-03,very functional,
2613,tim geiges,2016-07-03,cut the 55gb down to 10gb       so i will set the 5 down to 1 i guess ,
2614,dustin johnson,2016-07-03,the part that be convienent have changed  why can t i upload more than 10 pic at a time?? i still end up upload 50  at the end of the day make it a hassle for me more than anything  have return to connect my phone to the cpu to upload pic to pc as its not as convenient anymore  repair this and you will have your 5 star rating back  besides my complaint it be a very well function lication especially for keep backup of pics ,1.0
2615,justin dayne bryant pena,2016-07-02,good,
2616,syed noor,2016-07-02,thank,
2617,k  ramu,2016-07-02,nice,
2618,tabitha shannon,2016-07-02,take up to much space,
2619,uttam kundhiya,2016-07-02,very good  ,
2620,ana cuevas,2016-07-02,i love this and be so great to keep your file safe!,
2621,rick loughman,2016-07-02,not bad but the huuuuge bloated client be now take up more space than the actual file we have in them and be ditch older tech non sse2 processor can t run the window client so forget old hardware etc etc,
2622,narayan pangeni,2016-07-02,love it,
2623,b krupa,2016-07-02,the be good to get access to files  the ability to search within a file on mobile device io and android would make it a 5 ,
2624,jacqueline luckett,2016-07-02,thank for this,
2625,byrappa j c,2016-07-02,best,
2626,md danish,2016-07-02,no gud,
2627,michaela lemke,2016-07-02,save every picture you take on any device,1.0
2628,mohit singla,2016-07-02,how much space in to save the file nd other ?,
2629,abban sultan funtua,2016-07-02,good luck,1.0
2630,siem yong,2016-07-02,demon be my bizznezz ,
2631,job nmadu,2016-07-02,very good storage for the go,
2632,d pippin,2016-07-02,limit me to how many time i can share a file now why be i limit share my work files ye they be large file but it do not state anywhere on your site about sharing to much   be a great before ,
2633,muhammad irfan,2016-07-02,very help,
2634,stephanie gooch,2016-07-02,why can t i upload multiple photo at once? update nurfed it ,1.0
2635,ni ni myint,2016-07-02,good ,
2636,sandy s,2016-07-02,it s quite good,
2637,a google user,2016-07-02,need a real change log,1.0
2638,tin zaw htun,2016-07-02,it be good sofor the winare ,
2639,saurabh pangtey,2016-07-02,no free subscription,
2640,ritesh chandra,2016-07-02,superb with very practical functionality,
2641,shoaib gujjar,2016-07-02,love it,
2642,z fissh,2016-07-02,good,
2643,richard guya,2016-07-02,,
2644,karl pridmore,2016-07-02,but see as you herd person into pay if you want your datum automatical upload on the 22nd july you can ram it guess nothing for the year of loyalty eh? and i always point person in your direction feel like you sled me in the face for my dedication ,
2645,mitva sharma,2016-07-02,isme pass word change karne ka option nhi h na hi jo bhi pic save hoti h unko wapi galary me lane ka option hplzz btaiye kha se hoga ye,
2646,md sajid ali,2016-07-02,very useful to save photo for ever  really love it ,
2647,demi raphael,2016-07-02,great,
2648,mishal ramesh,2016-07-02,worst lication ever,1.0
2649,halleluyah avordi,2016-07-02,this be a must have   the best and be also free  your file be always safe with this  ,
2650,john parsons,2016-07-02,thank you back to 5,
2651,zain mustafa,2016-07-02,good,
2652,alex anto,2016-07-02,useful,
2653,robert van rootselaar,2016-07-02,great for club and association to communicate with member and scheduling event,
2654,pattrapol gridigran,2016-07-02,very useful,
2655,rene fils angus,2016-07-02,keep document safe for years  easy to share with groups ,
2656,jeffrey boyd,2016-07-02,now i ve get the coolest material of the collective!,
2657,sasa lesa,2016-07-02,you remove recent after month finally but finger scanner unlocklock option? you do nothing important last two year but you re most expensive cloud  ,1.0
2658,sufiyan ansari,2016-07-02,good,
2659,shwe yee myo khine,2016-07-02,fuuto,
2660,nawab shan,2016-07-02,nice easy to use and very help full to save datum,
2661,cris falcon,2016-07-02,can use it on all my devices  make it easy to upload resume and share ideas ,
2662,salim nazar jumbobag,2016-07-02,dimana menu untuk download file kita?????,
2663,alexander suarez,2016-07-02,for job,
2664,sazda bano,2016-07-02,very useful for student s,
2665,dremere stokes,2016-07-02,awesome,
2666,shehzad ahmed,2016-07-02,k,
2667,khursheed sofi,2016-07-02,love it,
2668,jap bartolome,2016-07-02,great its awesome,
2669,trace keir cunningham,2016-07-02,bloatware and info snatch at its finest,1.0
2670,ramon gumila,2016-07-02,best free !,
2671,farhan farhan,2016-07-02,but it s useful,
2672,rob neyts,2016-07-02,excellent cloud storage at reasonable cost ,
2673,mary anne hobbsfernie,2016-07-02,very handy for all my tutorials  thank you   ,
2674,hossein falsafain,2016-07-02,great,
2675,umair rana,2016-07-02,very good,
2676,shafeek mohamed,2016-07-02,good,
2677,jayaprakash radhakrishnan,2016-07-02,nice,
2678,arjun ag,2016-07-02,take time to upload  must improve,1.0
2679,bhavinder ral,2016-07-02,be used it for years ,
2680,rinkle bharti,2016-07-02,loved itvery easy way to manage ur picture nd video,
2681,sameer chakrawarti,2016-07-02,nice,
2682,sbiloche gmail,2016-07-02,love i can save all my photo,
2683,g greco,2016-07-02,make online storage easy,
2684,walid hossain,2016-07-02,f,
2685,simon penn,2016-07-02,i dont need it to check the behind the scenes  when i want it acti ve i want to tell it to open  otherwise stop used my resource,
2686,charles roberts,2016-07-02,reliable and worth the rent ,
2687,alex delaney,2016-07-02,amazing,
2688,justin greig,2016-07-02,photo upload work on mobile data but sit at wait to upload if on wi fi very frustrating!,
2689,mohsen benahmed,2016-07-02,,
2690,je'rome whitmore,2016-07-02,if you have lot of picture and video it s not go save all unless you upgrade shake my head waste of time,
2691,vijay kumar,2016-07-02,nice one    !!!!,
2692,famous ohisemega alele,2016-07-02,lovely u guy do a good job,
2693,radhe sarker,2016-07-02,g,
2694,rahman mat,2016-07-02,as well as soon be good,
2695,md zaffer zaffer,2016-07-02,thank,
2696,rebecca hora,2016-07-02,firework,
2697,michele waters,2016-07-02,very handy,
2698,irfan rashid bhatti,2016-07-02,it be very useful and accessable,
2699,kerri wellman   gayer,2016-07-02,great but wish more free storage be included!,2.0
2700,ali cherboub,2016-07-02,very useful,
2701,a google user,2016-07-02,a very convenient way to get and send file tofrom home computer or another phone  work perfectly  only complaint be that you only get 2gb of space box give 10gb!,
2702,liam f ,2016-07-02,do this let me transfer all of my current phone datum to a new one? im also very concern with the permission  why do you need my contact information?????????????,1.0
2703,dakota young,2016-07-02,its a great to send music on to different person,
2704,zahid khan,2016-07-02,nice one,
2705,fazarmohamed hameedsulthan,2016-07-02,nice lication,
2706,djdawna moranda,2016-07-02,everything is at the tip of fingers   easy and fun lication  try it you ll like it           dj dawna xx,
2707,m rajaei awg s,2016-07-01,smart  ease  functional  keep it update to fix some issues ,1.0
2708,shahin ahammed shahin,2016-07-01,it s a very good si like it,
2709,                     ,2016-07-01,,
2710,steve moorman,2016-07-01,i use all the time,
2711,jesus rodriguez,2016-07-01,i have 15 gbs of datum i check the size and you guy say im at 13 5 and you say i m at 100  your company doesnt keep its end no way in hell be i repy on your company ,
2712,clarence blair,2016-07-01,very good,
2713,richard haney,2016-07-01,easy to use,
2714,simeon marinov,2016-07-01,i would love if you add an option to stop or disable recents  every time launch the it go straight in there and it be annoying for me  i wish you can give person a choice  thank you,2.0
2715,jennifer c,2016-07-01,it win t let me upload a video hoe much space do have?,1.0
2716,a google user,2016-07-01,htc one x 7 8 9 a1 and now htc 10  root or not this solve one big headache and work all the time on all these phone i own,1.0
2717,salma kassem,2016-07-01,,
2718,priscilla solis,2016-07-01,awesome,
2719,ahmed magdi,2016-07-01,useful lication,
2720,eliezer martinez,2016-07-01,overall i be in love with i have be used for several year but the only thing hasn t do yet they need to support move to sd card because i be run out of space on my internal storage other than that i m satisfy with you deserve 5 star keep up the good work,
2721,tom snail,2016-07-01,handy as a pocket on a shirt,
2722,usman gurama,2016-07-01,really enjoy it,
2723,sachin ringwala,2016-07-01,very good,
2724,valus mckindley,2016-07-01,never have a problem  wish they have a free larger space for students  but overall i m very pleased ,
2725,bl chew,2016-07-01,i just update yestersay and here we be another update!,1.0
2726,hoyt roberson,2016-07-01,ready to use reliable interface well will m s ,
2727,el louie,2016-07-01,be report to be change the so that you can t auto save your phone s photo without used the corresponding on a pc to offload the photo from their server to your pc ,1.0
2728,ashley c,2016-07-01,bobbbcjbcnccncbcbcbcbcbbccb  mcnabb bbc bbbcgfbchfhcbfbbffbfbbhfgbfb fv bored fv fhfhcbcfbfhfhfhfhfhhfbfbffbvb fv cbc  bf jfjfhfjchfhbfbfbfbfbfbfh cbc bfbfbfbfbfbffhcbcbcbcbchbcbbbnf bbcbcbbcbncbcncnncbcn bbc bc c d s  ncncncncbcbcbcbcbcbcbbcjdbcndbbcbdbcbcbc bbc bc c c c f bbc bench c f  jdcjchfhchchchhfbcccbccnc c f  xxx cx xxx xxx!,
2729,angel v,2016-07-01,this save my life when it come to minecraft backup,
2730,gordon cummings,2016-07-01,great,
2731,terrence clayborn,2016-07-01,awesome!,
2732,reynaldo s lozano alv,2016-07-01,nobody said is too easy to transfer files but did it        ,
2733,los wang,2016-07-01,                                                10                              n                ,
2734,helen green,2016-07-01,i think drop box be safe i m go to lose a video of my husband sit in rocking chair september 7 2014 he pass 2015 i always watch the video every night when i go to bed ,
2735,a google user,2016-07-01,very good,
2736,ach perry,2016-07-01,good,
2737,yunita indriati,2016-07-01,good,
2738,carol gil,2016-07-01,great,
2739,rp shahin,2016-07-01,i be a student,
2740,joshua mbilinyi,2016-07-01,iko vizuri sana,
2741,iftikhar ahmed,2016-07-01,very nice and useful ,
2742,sgt  scott rickert,2016-07-01,one of the easiest most compatible fast secure and powerful cloud utility on the market and the pro version be on sale untill 2016 july 22 1tb included  i use this for most of my backups  accessible via or browser ,1.0
2743,brian hunsaker,2016-07-01,    ,
2744,the leader,2016-07-01,one of the most imp    must have,
2745,shafqet raza,2016-07-01,excellent lication,
2746,william leslie taylor,2016-07-01,awesome     ,
2747,mufaddal kothawala,2016-07-01,very good,
2748,zane clements,2016-07-01,almost the perfect for cloud file,
2749,jamaho efemona,2016-07-01,it s easy to use,
2750,kamal kishor rai,2016-07-01,its good for the pic nd video store,
2751,hugo cat,2016-07-01,pls use this !!!!!,2.0
2752,lawrence muankima,2016-07-01,g,
2753,jashim uddin,2016-07-01,clean smooth  u0026amp  fast  recommend this to all ,
2754,sally weatherill,2016-07-01,don t want it,
2755,gandri kristian,2016-07-01,save me few time for miss the paper thank you !!,
2756,ratan chandra das ,2016-07-01,its a very usefull s like me,
2757,aniket jais,2016-07-01,download this,
2758,jeffrey smith,2016-07-01,since the last update a couple of week ago myself and a couple of my co worker have have problem with it when we try to open a file  we get an error message that say have stopped  we all have different brand of phone all android though ,1.0
2759,archana arora,2016-07-01,nice,
2760,noraina fatihah,2016-07-01,love,
2761,ali reza,2016-07-01,,
2762,tawfik marey,2016-07-01,good,
2763,iminer 2,2016-07-01,it s perfect for those who need to backup important information,
2764,mike schnell,2016-07-01,1 star until it s do,
2765,rajendra bhendekar,2016-07-01,good s,
2766,brian scussel,2016-07-01,notification control,
2767,curtis cox,2016-07-01,excellent,
2768,ricky sidhu,2016-07-01,gud,
2769,sbusiso matsane,2016-07-01,the best,
2770,debashis paul,2016-07-01,nice,
2771,tanvir rupuk,2016-07-01,nothing to say,
2772,weli adse,2016-07-01,backup save file easy ,
2773,fred manhi  a,2016-07-01,good to save my stuff in yeah,
2774,vira m,2016-07-01,and you will delete all those personal data?! that s it  i m out!,
2775,jim kisting,2016-07-01,jim kist auto,
2776,bobby severson,2016-07-01,music,
2777,joram kagotha,2016-07-01,awesome,
2778,manoj kumar verma,2016-07-01,good,
2779,kejaroko pier,2016-07-01,best to carry ur file along with you,
2780,malik waseem ali,2016-07-01,love to use it share my datum,
2781,yoyo sujarwoyo,2016-07-01,sangat membantu,
2782,a google user,2016-07-01,thank you,
2783,ms  robin elizabeth williams aka mangrubang,2016-07-01,,
2784,chris benson,2016-07-01,please reverse decision to remove camera upload from basic account  say it will fill up storage be a poor excuse i have 50gb on my basic account  add feature to pro don t remove from basic  fire whoever make this suggestion!,
2785,sardar ali sardar ali,2016-07-01,good lication,
2786,mo sa,2016-07-01,perfect lication,
2787,kranthi kumar,2016-07-01,user friendly,
2788,amageed eisa,2016-07-01,perfect,
2789,mark glesinger,2016-07-01,what pdf viewer?,
2790,daniel voelkel,2016-07-01,i download this for work i can open the file but as soon as i zoom in it go blank  i also download to my desktop and the file win t load at all  this be garbage!,
2791,karsten cruz,2016-06-30,thisbsuck,
2792,david mutz,2016-06-30,v  v7  998t h,
2793,gary paschke sr ,2016-06-30,great way to save your photo and file instantly!,1.0
2794,rex gamer,2016-06-30,horrible!wear my memory and be a horrible,
2795,kenjoe martinez,2016-06-30,it be a great but need more space in its basic account ,
2796,craig comeau,2016-06-30,lately i m not able to view pdf document attached to gmail email which be incredibly frustrate as the pdf viewer used to work flawlessly  please fix asap  thank,1.0
2797,mark suttles,2016-06-30,backup,
2798,r i  monju,2016-06-30,helpfull,
2799,al acton,2016-06-30,why can t i watch the full video that i have in drop box on my roku but i can watch the full movie on my phone  the roku only play like 5 mins of it,1.0
2800,nathan cunningham,2016-06-30,another great cloud storage   i can t say i use this anymore since i primarily use google drive and a little one drive for the xb1 but this be by far one of the best s in the cloud storage section  easy to use and navigate ,
2801,diana hunt,2016-06-30,worst ever ! win t say something useful if it can t file anything it just say go to a different ! i hate this sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo much,1.0
2802,mark avila,2016-06-30,nice !,
2803,erign mccollum,2016-06-30,it s excellent and do exactly what it say it does  but it also send me six email the day i sign up and repeated notification to make me download it on my computer and tell friend about it  everyone know what be leave me alone ,
2804,marie emie moulate,2016-06-30,verry helpful,
2805,abdul ahad,2016-06-30,this be a great lication i like it  ,
2806,catharina lean,2016-06-30,i ve uninstal this yet it s still here!?!?!,1.0
2807,hubert l reed jr ,2016-06-30,no the go,
2808,a google user,2016-06-30,great,
2809,pullak mohapatra,2016-06-30,awesome  ,
2810,ratnajit das ratnajit,2016-06-30,da,
2811,juanita crowder,2016-06-30,my  kids  and  family,
2812,jose  a guilez,2016-06-30,guilez,
2813,elita turner,2016-06-30,yes,
2814,sonny bee,2016-06-30,i have used for year the new productivity tool look good but i can t find them on my scanning a doc in particular would be so useful,
2815,zino lentini,2016-06-30,drop box,
2816,derek bates sr ,2016-06-30,all spam,
2817,puthy sem,2016-06-30,ducumemt,
2818,ronald japhet,2016-06-30,    ,
2819,yogesh soni,2016-06-30,                  ,
2820,bilal hassan,2016-06-30,best to keep our stuff safe and private,
2821,qib sandhu,2016-06-30,iloveyou,
2822,salman raza,2016-06-30,this sofor the winare be very good,
2823,niharika singroli,2016-06-30,easy to use ,
2824,naveen royal,2016-06-30,naveen,
2825,vitaly b ,2016-06-30,i love you team!,
2826,ikmal hakimi,2016-06-30,easy to download image,
2827,aldrich albos,2016-06-30,nice s,
2828,david evans,2016-06-30,doesn t work  uninstal,1.0
2829,maricel iftimie,2016-06-30,nice,
2830,ar tonelico,2016-06-30,love it,
2831,petre deleon,2016-06-30,pete,
2832,yoga dwi prasojo,2016-06-30,kirim file via android fb kok gak bisa  tapi gpp ada upload aja di sana lalu bagikan linknya          ,
2833,biplop nrg,2016-06-30,good,
2834,bram ibam,2016-06-30,when we saveshare pict to save that pict as text please fix,
2835,christina cherry tohin,2016-06-30,thank,
2836,bhavin mehta,2016-06-30,very good to cydia,
2837,mimi abenshe yesus,2016-06-30,love it,
2838,ahsan habib,2016-06-30,photo upload be not as user free as  ,1.0
2839,adam le grange,2016-06-30,very good to use ,
2840,steven miller,2016-06-30,be used for year never have any issue with it no matter what device it be install on ,1.0
2841,tim sharples,2016-06-30,do exactly what it say on the tin,
2842,joshua aromeh,2016-06-30,this be simply 1daful  the only draw back i see be the inability to view document in offline mode ,1.0
2843,aanant sharma,2016-06-30,plz decrease the size  it be go high and high,
2844,md kawser,2016-06-30,it s very helful,
2845,naas rademeyer,2016-06-30,imr,
2846,luis i  rodriguez,2016-06-30,i really like the logo ,
2847,santiago r  cuizon iii,2016-06-30,this be a track device to deliver the correctly item or new playstore ,1.0
2848,waheedul haque,2016-06-30,when upload a file it freeze up and my entire phone crash it very often im on note 4 android marshmellow fix it please it also doesnt allow to upload more than 10 file at once give an error say please use which i obviously be,1.0
2849,harminder paul,2016-06-30,please size increase,2.0
2850,zaid saber,2016-06-30,didn t work,1.0
2851,montina holliday,2016-06-30,i love this   i can upload pic to save room on my phone  i can share folder and download easily ,
2852,mohmadsah sarimon,2016-06-30,it s ok,
2853,naleen prabhath,2016-06-30,supperb,
2854,benjamin abraham,2016-06-30,its make easy life,
2855,nikky n linnane,2016-06-30,so angry i earn extra storage now you want me to pay or all my stuff will be delete well stuff you you win t get a bean out of me,
2856,moazzem hossain,2016-06-30,bad work bad thank,
2857,yingyong,2016-06-30,the best s,
2858,amit kumar,2016-06-30,not open,
2859,cindy hunsaker,2016-06-30,i think it s great  i do ever thing i need it to do!,
2860,yoko sigmavision,2016-06-30,nice,
2861,consuela colburn,2016-06-30,i live it never loose photo again ,
2862,hanif muhammad,2016-06-30,great  ,
2863,ben eaton,2016-06-30,win t let me upload multiple picture from my phone  i go via to upload them but win t let me select more than 1 at a time   60 photo or more to upload individually  great  ,1.0
2864,yogesh gawade,2016-06-30,very good,
2865,palvinder kaur,2016-06-30,great to save your personal pic forever,
2866,dk azad,2016-06-30,to save your past ,
2867,fikru tefera,2016-06-30,,
2868,jimella johnson,2016-06-30,great but when i try logging in it only do 1 character at a time and not recognize it,1.0
2869,zeshan ismail,2016-06-30,i love this service no match for you guy,
2870,com ikram akram,2016-06-30,ahm,
2871,marc carr,2016-06-30,space for and back up for photo music etc!,
2872,tony ugorji,2016-06-30,cool,
2873,rahman farahan,2016-06-30,ok,
2874,jack bentley,2016-06-30,great,
2875,jasmine terry,2016-06-30,love this,
2876,aprilianawati sutarto,2016-06-29,whoa! s size become more and more exaggerate by the day! it s way too huge! can you please make the lite version or something?,2.0
2877,annie cepero,2016-06-29,,
2878,nicholas andriole,2016-06-29,616 try first time in filling  by the way do anyone know the amount of small pictures  have a 64gb mc  any idea hy people!,
2879,rokon abir,2016-06-29,work  ,
2880,erica j,2016-06-29,love to store all of my picture in one place!,
2881,jason dover,2016-06-29,it so far hold my enourmous collection of porn,
2882,andre plummer,2016-06-29,this be the best,
2883,sadikur joarder,2016-06-29,nive,
2884,paula schuhmann,2016-06-29,drop it like its hot,1.0
2885,ken yazici,2016-06-29,for for the last week each time i try to access a file from my phone keep crashing  very frustrate pay customer ,1.0
2886,ayman shakhshir,2016-06-29,resolution of my picture not at all save in its original resolution be very sad that i remove all my original photo from device,1.0
2887,a google user,2016-06-29,no release note,1.0
2888,akhlaque ansari,2016-06-29,upgrade for free,
2889,deepali gupta,2016-06-29,irritated of try to sign in about 10 time now  even though i enter the correct password it wnt leme sign in and say too many attempt try later  never come across this bad as now !,1.0
2890,ali ashkan,2016-06-29,,
2891,felipe aguilar,2016-06-29,love it,
2892,riaz ahmad baboojee,2016-06-29,awesome,
2893,dwane francis,2016-06-29,the best,
2894,maeziel veri,2016-06-29,good,
2895,ghost creeper357,2016-06-29,everytime i save a file and win t let me open it  it suck well for me ,
2896,frank ellis,2016-06-29,after delete photo put them back and try to force you to pay for upgrade ,1.0
2897,girish rout,2016-06-29,girish chandra rout,
2898,war monger,2016-06-29,your new policy to stop auto update unless i pay for pro have cause me to downgrade your rating and look at other service or as u say just load them on my computer and uninstall,1.0
2899,thant zin jack,2016-06-29,good,
2900,denis sergeev,2016-06-29,uninstallable lication,
2901,san sok,2016-06-29,it it very good for my phone,1.0
2902,sachin sharma,2016-06-29,kindly get the option to view in thumbnail as well,
2903,suman kumar,2016-06-29,freecharge me promocode rvk9n6a dalna tab 50 ke recharge pr 50 ka cashback milega,
2904,venkatesh venki,2016-06-29,it s cool,
2905,ariel rueda,2016-06-29,very useful and simple interface,
2906,shana darden,2016-06-29,every 2 minute i get a notification on my phone say have stop before i can even select an option it glitch me out of the i m in or the screen i m on  i cannot access my gallery of photo and this only hen today after the update! please help!,1.0
2907,subhodeep bakshi,2016-06-29,nice,
2908,u  don't  me,2016-06-29,it should aromaticly save everything,
2909,pankaj goikar,2016-06-29,nice,
2910,maqsood ali,2016-06-29,god,
2911,joesta sebolela,2016-06-29,very good,
2912,shalu krishnan,2016-06-29,be used this more year ago,
2913,nkosana morobe,2016-06-29,safe up to this far ,
2914,shaffishah mohammad,2016-06-29,thank for your business and leisure activity and facility event and news about your experience with this product,
2915,varsha dhole,2016-06-29,nice,
2916,parneet singh,2016-06-29,,
2917,mrityunjay pandey,2016-06-29,nice,
2918,james cuesta,2016-06-29,thank great,
2919,will blackburn,2016-06-29,be once good ,
2920,ahmad tanbir,2016-06-29,good,
2921,eddie laing,2016-06-29,your be too full notification will not go away!!!,1.0
2922,katharinapablo szuster,2016-06-29,just great!,
